"","eng","fi","z"
"266","If you think that these two melodies are the same, just press SAME.  If you think that these two melodies are different, just press DIFFERENT","Tehtäväsi on päättää ovatko melodiat samoja vai erilaisia. Jos mielestäsi melodiat ovat samoja, valitse nappi SAMA. Jos mielestäsi melodiat ovat erilaisia, valitse ERI",NA
"267","First, we will have a couple of practice melodies","Nyt alkuun tulee pari harjoitusmelodiaa",NA
"268","Listen","Kuuntele",NA
"269","Choose","Valitse",NA
"270","Wrong, do you wish to repeat the stimuli?","Väärin, haluatko että esimerkki toistetaan?",NA
"271","Next portion. Again, you will hear a warning signal followed by two successive melodies that are to be compared.","Seuraava vaihe. Tässäkin tehtävässä kuulet peräkkäisiä melodiapätkiä joita vertailet",NA
"272","These two melodies are separated by a very short silence. You have to decide whether these two melodies sound the same or different. If you think that these two melodies are the same, just press SAME.  If you think that these two melodies are different, just press DIFFERENT","Näitä melodioita erottaa lyhyt hiljaisuus. Tehtäväsi on päättää ovatko melodiat samoja vai erilaisia. Jos mielestäsi melodiat ovat samoja, valitse nappi SAMA. Jos mielestäsi melodiat ovat erilaisia, valitse ERI",NA
"273","First, we will have a couple of practice melodies","Nyt alkuun tulee pari harjoitusmelodiaa",NA
"274","You have heard many melodies several times with me.  Can you tell which ones have already been presented to you and which ones are completely novel?","Saatat olla kuullut joitain melodioita monta kertaa. Voitko kertoa mitkä on esitetty aiemmin sinulle ja mitkä ovat kokonaan uusia?",NA
"275","When you have the feeling that you have heard the melody before, just say YES and say NO otherwise.","Jos sinusta tuntuu, että olet kuullut melodian aikaisemmin, valitse KYLLÄ, ja muussa tapauksessa EI",NA
"276","First, we will have a couple of practice melodies","Nyt alkuun tulee pari harjoitusmelodiaa",NA
"277","Have you heard the melody before?","Oletko kuullut melodian aikaisemmin?",NA
"278","Now, we will continue with the actual task. Listen carefully!","Nyt jatketaan varsinaisella tehtävällä. Kuuntele tarkasti!",NA
